   .10000000     .00000000
   .04437700  -50.17100000  -50.13900000
   .05547100  -50.17300000  -50.12300000
   .06656500  -50.17500000  -50.10300000
   .07765900  -50.17700000  -50.07900000
   .08875400  -50.17900000  -50.05100000
   .09984800  -50.18000000  -50.01800000
   .11094000  -50.18200000  -49.98200000
   .12204000  -50.18300000  -49.94100000
   .13313000  -50.18500000  -49.89700000
   .14422000  -50.18600000  -49.84800000
   .15532000  -50.18800000  -49.79500000
   .16641000  -50.18900000  -49.73800000
   .17751000  -50.19000000  -49.67700000
   .18860000  -50.19100000  -49.61200000
   .19970000  -50.19100000  -49.54300000
   .21079000  -50.19200000  -49.47000000
   .22188000  -50.19300000  -49.39200000
   .23298000  -50.19300000  -49.31000000
   .24407000  -50.19300000  -49.22500000
   .25517000  -50.19300000  -49.13500000
   .26626000  -50.19300000  -49.04000000
   .27735000  -50.19300000  -48.94200000
   .28845000  -50.19200000  -48.83900000
   .29954000  -50.19100000  -48.73300000
   .31064000  -50.19000000  -48.62200000
   .32173000  -50.18900000  -48.50600000
   .33283000  -50.18800000  -48.38700000
   .34392000  -50.18600000  -48.26300000
   .35501000  -50.18400000  -48.13500000
   .36611000  -50.18200000  -48.00300000
   .37720000  -50.18000000  -47.86700000
   .38830000  -50.17700000  -47.72600000
   .39939000  -50.17500000  -47.58100000
   .41049000  -50.17100000  -47.43200000
   .42158000  -50.16800000  -47.27800000
   .43267000  -50.16400000  -47.12100000
   .44377000  -50.16000000  -46.95800000
   .45486000  -50.15600000  -46.79200000
   .46596000  -50.15100000  -46.62100000
   .47705000  -50.14600000  -46.44600000
   .48814000  -50.14100000  -46.26700000
   .49924000  -50.13500000  -46.08300000
   .51033000  -50.12900000  -45.89500000
   .52143000  -50.12300000  -45.70300000
   .53252000  -50.11600000  -45.50600000
   .54362000  -50.11000000  -45.30500000
   .55471000  -50.10200000  -45.09900000
   .56580000  -50.09500000  -44.89000000
   .57690000  -50.08700000  -44.67600000
   .58799000  -50.07900000  -44.45800000
   .59909000  -50.07100000  -44.23500000
   .61018000  -50.06200000  -44.00800000
   .62127000  -50.05300000  -43.77700000
   .63237000  -50.04400000  -43.54200000
   .64346000  -50.03500000  -43.30300000
   .65456000  -50.02500000  -43.05900000
   .66565000  -50.01500000  -42.81100000
   .67675000  -50.00600000  -42.55900000
   .68784000  -49.99500000  -42.30300000
   .69893000  -49.98500000  -42.04300000
   .71003000  -49.97500000  -41.77800000
