   .10000000     .00000000
  1.70850000  -16.41600000   34.52200000
  1.71960000  -16.19400000   35.40700000
  1.73070000  -15.97300000   36.29600000
  1.74180000  -15.75200000   37.18900000
  1.75290000  -15.53100000   38.08700000
  1.76400000  -15.30900000   38.98900000
  1.77510000  -15.08800000   39.89500000
  1.78620000  -14.86700000   40.80600000
  1.79730000  -14.64600000   41.72000000
  1.80840000  -14.42500000   42.63900000
  1.81940000  -14.20400000   43.56300000
  1.83050000  -13.98400000   44.49000000
  1.84160000  -13.76300000   45.42200000
  1.85270000  -13.54200000   46.35800000
  1.86380000  -13.32100000   47.29800000
  1.87490000  -13.10000000   48.24300000
  1.88600000  -12.87900000   49.19200000
  1.89710000  -12.65900000   50.14500000
  1.90820000  -12.43800000   51.10200000
  1.91930000  -12.21700000   52.06400000
  1.93040000  -11.99700000   53.03000000
  1.94150000  -11.77600000   54.00000000
  1.95260000  -11.55500000   54.97500000
  1.96370000  -11.33500000   55.95400000
  1.97480000  -11.11400000   56.93700000
  1.98590000  -10.89300000   57.92400000
   .40000000     .00000000
   .00000000  -39.98400000  -39.98400000
   .01166800  -39.94300000  -39.94100000
   .02333600  -39.90200000  -39.89300000
   .03500400  -39.86100000  -39.84000000
   .04667200  -39.82000000  -39.78200000
   .05834000  -39.77800000  -39.71900000
   .07000800  -39.73700000  -39.65100000
   .08167600  -39.69500000  -39.57800000
   .09334400  -39.65200000  -39.50000000
   .10501000  -39.60900000  -39.41700000
   .11668000  -39.56600000  -39.32800000
   .12835000  -39.52100000  -39.23400000
   .14002000  -39.47700000  -39.13500000
   .15168000  -39.43100000  -39.03000000
   .16335000  -39.38500000  -38.91900000
   .17502000  -39.33800000  -38.80300000
   .18669000  -39.29000000  -38.68200000
   .19836000  -39.24100000  -38.55500000
   .21002000  -39.19100000  -38.42100000
   .22169000  -39.14000000  -38.28300000
   .23336000  -39.08800000  -38.13800000
   .24503000  -39.03500000  -37.98700000
   .25670000  -38.98100000  -37.83100000
   .26836000  -38.92500000  -37.66800000
   .28003000  -38.86800000  -37.49900000
   .29170000  -38.80900000  -37.32400000
   .30337000  -38.74900000  -37.14300000
   .31504000  -38.68800000  -36.95600000
   .32670000  -38.62500000  -36.76200000
   .33837000  -38.56000000  -36.56200000
   .35004000  -38.49300000  -36.35500000
   .36171000  -38.42500000  -36.14200000
   .37338000  -38.35500000  -35.92200000
   .38504000  -38.28300000  -35.69600000
   .39671000  -38.20900000  -35.46300000
