   .10000000    1.42050000
   .26626000  -86.95100000  -85.48200000
   .27735000  -86.89700000  -85.30300000
   .28845000  -86.84100000  -85.11700000
   .29954000  -86.78300000  -84.92400000
   .31064000  -86.72300000  -84.72400000
   .32173000  -86.66200000  -84.51700000
   .33283000  -86.59800000  -84.30300000
   .34392000  -86.53300000  -84.08200000
   .35501000  -86.46500000  -83.85300000
   .36611000  -86.39500000  -83.61800000
   .37720000  -86.32300000  -83.37500000
   .38830000  -86.24900000  -83.12500000
   .39939000  -86.17200000  -82.86700000
   .41049000  -86.09300000  -82.60100000
   .42158000  -86.01100000  -82.32800000
   .43267000  -85.92700000  -82.04800000
   .44377000  -85.84000000  -81.75900000
   .45486000  -85.75000000  -81.46300000
   .46596000  -85.65800000  -81.15900000
   .47705000  -85.56200000  -80.84700000
   .48814000  -85.46400000  -80.52700000
   .49924000  -85.36300000  -80.19800000
   .51033000  -85.25900000  -79.86200000
   .52143000  -85.15100000  -79.51700000
   .53252000  -85.04100000  -79.16500000
   .54362000  -84.92800000  -78.80400000
   .55471000  -84.81200000  -78.43600000
   .56580000  -84.69300000  -78.05900000
   .57690000  -84.57100000  -77.67500000
   .58799000  -84.44600000  -77.28200000
   .59909000  -84.31900000  -76.88200000
   .61018000  -84.18800000  -76.47300000
   .62127000  -84.05500000  -76.05700000
   .63237000  -83.92000000  -75.63400000
   .64346000  -83.78100000  -75.20200000
   .65456000  -83.64000000  -74.76200000
   .66565000  -83.49700000  -74.31500000
   .67675000  -83.35000000  -73.86000000
   .68784000  -83.20200000  -73.39800000
   .69893000  -83.05000000  -72.92800000
   .71003000  -82.89600000  -72.45000000
   .72112000  -82.74000000  -71.96500000
   .73222000  -82.58100000  -71.47200000
   .74331000  -82.42000000  -70.97200000
   .75440000  -82.25700000  -70.46400000
   .76550000  -82.09100000  -69.94800000
   .77659000  -81.92300000  -69.42600000
   .78769000  -81.75200000  -68.89600000
   .79878000  -81.57900000  -68.35800000
   .80988000  -81.40400000  -67.81300000
   .82097000  -81.22700000  -67.26100000
   .83206000  -81.04800000  -66.70200000
   .84316000  -80.86600000  -66.13500000
   .85425000  -80.68300000  -65.56100000
   .86535000  -80.49700000  -64.98000000
   .87644000  -80.30900000  -64.39200000
   .88754000  -80.11900000  -63.79700000
   .89863000  -79.92700000  -63.19400000
   .90972000  -79.73400000  -62.58500000
   .92082000  -79.53800000  -61.96800000
   .93191000  -79.34000000  -61.34500000
   .94301000  -79.14100000  -60.71400000
   .95410000  -78.94000000  -60.07700000
   .96519000  -78.73600000  -59.43300000
   .97629000  -78.53200000  -58.78100000
   .98738000  -78.32500000  -58.12300000
   .99848000  -78.11600000  -57.45800000
  1.00960000  -77.90600000  -56.78700000
  1.02070000  -77.69500000  -56.10800000
  1.03180000  -77.48100000  -55.42300000
  1.04290000  -77.26600000  -54.73100000
  1.05390000  -77.04900000  -54.03200000
  1.06500000  -76.83000000  -53.32600000
  1.07610000  -76.61000000  -52.61300000
  1.08720000  -76.38800000  -51.89400000
  1.09830000  -76.16500000  -51.16800000
  1.10940000  -75.93900000  -50.43500000
  1.12050000  -75.71200000  -49.69600000
  1.13160000  -75.48400000  -48.95000000
  1.14270000  -75.25400000  -48.19700000
  1.15380000  -75.02200000  -47.43700000
  1.16490000  -74.78900000  -46.67100000
  1.17600000  -74.55400000  -45.89700000
  1.18710000  -74.31700000  -45.11700000
  1.19820000  -74.07900000  -44.33100000
  1.20930000  -73.83900000  -43.53800000
  1.22040000  -73.59700000  -42.73800000
  1.23150000  -73.35400000  -41.93100000
  1.24250000  -73.11000000  -41.11800000
  1.25360000  -72.86400000  -40.29800000
  1.26470000  -72.61600000  -39.47100000
  1.27580000  -72.36700000  -38.63800000
  1.28690000  -72.11600000  -37.79800000
  1.29800000  -71.86300000  -36.95100000
  1.30910000  -71.60900000  -36.09800000
  1.32020000  -71.35400000  -35.23800000
  1.33130000  -71.09700000  -34.37100000
  1.34240000  -70.83800000  -33.49800000
  1.35350000  -70.57800000  -32.61800000
  1.36460000  -70.31700000  -31.73200000
  1.37570000  -70.05300000  -30.83900000
  1.38680000  -69.78900000  -29.93900000
  1.39790000  -69.52300000  -29.03300000
  1.40900000  -69.25500000  -28.12000000
  1.42010000  -68.98600000  -27.20000000
  1.43120000  -68.71600000  -26.27400000
  1.44220000  -68.44400000  -25.34200000
  1.45330000  -68.17000000  -24.40300000
  1.46440000  -67.89500000  -23.45700000
  1.47550000  -67.61900000  -22.50500000
  1.48660000  -67.34100000  -21.54600000
  1.49770000  -67.06200000  -20.58100000
  1.50880000  -66.78100000  -19.60900000
  1.51990000  -66.49900000  -18.63100000
  1.53100000  -66.21500000  -17.64600000
  1.54210000  -65.93100000  -16.65500000
  1.55320000  -65.64500000  -15.65700000
  1.56430000  -65.35700000  -14.65300000
  1.57540000  -65.06900000  -13.64300000
  1.58650000  -64.77900000  -12.62600000
  1.59760000  -64.48800000  -11.60300000
  1.60870000  -64.19600000  -10.57400000
  1.61980000  -63.90300000   -9.53910000
  1.63080000  -63.60900000   -8.49770000
  1.64190000  -63.31400000   -7.45010000
  1.65300000  -63.01800000   -6.39650000
  1.66410000  -62.72100000   -5.33680000
  1.67520000  -62.42300000   -4.27110000
  1.68630000  -62.12400000   -3.19940000
  1.69740000  -61.82400000   -2.12170000
  1.70850000  -61.52300000   -1.03800000
  1.71960000  -61.22200000     .05150000
  1.73070000  -60.91900000    1.14690000
  1.74180000  -60.61600000    2.24820000
  1.75290000  -60.31300000    3.35520000
  1.76400000  -60.00800000    4.46810000
  1.77510000  -59.70300000    5.58660000
  1.78620000  -59.39800000    6.71090000
  1.79730000  -59.09200000    7.84090000
  1.80840000  -58.78500000    8.97650000
  1.81940000  -58.47800000   10.11800000
  1.83050000  -58.17000000   11.26500000
  1.84160000  -57.86200000   12.41700000
  1.85270000  -57.55300000   13.57500000
  1.86380000  -57.24400000   14.73800000
  1.87490000  -56.93500000   15.90700000
  1.88600000  -56.62500000   17.08100000
  1.89710000  -56.31500000   18.26100000
  1.90820000  -56.00500000   19.44600000
  1.91930000  -55.69400000   20.63600000
  1.93040000  -55.38400000   21.83200000
  1.94150000  -55.07300000   23.03300000
  1.95260000  -54.76200000   24.23900000
  1.96370000  -54.45100000   25.45000000
  1.97480000  -54.14000000   26.66700000
  1.98590000  -53.82900000   27.88800000
   .40000000    2.08860000
   .00000000  ************  ************
   .01166800  ************  ************
   .02333600  ************  ************
   .03500400  ************  ************
   .04667200  ************  ************
   .05834000  ************  ************
   .07000800  ************  ************
   .08167600  ************  ************
   .09334400  ************  ************
   .10501000  ************  ************
   .11668000  ************  ************
   .12835000  ************  ************
   .14002000  ************  ************
   .15168000  ************  ************
   .16335000  ************  ************
   .17502000  ************  ************
   .18669000  ************  ************
   .19836000  ************  ************
   .21002000  ************  ************
   .22169000  ************  ************
   .23336000  ************  ************
   .24503000  ************  ************
   .25670000  ************  ************
   .26836000  ************  ************
   .28003000  ************  ************
   .29170000  ************  ************
   .30337000  ************  ************
   .31504000  ************  ************
   .32670000  ************  ************
   .33837000  ************  ************
   .35004000  ************  ************
   .36171000  ************  ************
   .37338000  ************  ************
   .38504000  ************  ************
   .39671000  ************  ************
   .40838000  ************  ************
   .42005000  ************  ************
   .43172000  ************  ************
   .44338000  ************  ************
   .45505000  ************  ************
   .46672000  ************  ************
   .47839000  ************  ************
   .49006000  ************  ************
   .50172000  ************  ************
   .51339000  ************  ************
   .52506000  ************  ************
   .53673000  ************  ************
   .54840000  ************  ************
   .56006000  ************  ************
   .57173000  ************  -99.87300000
   .58340000  ************  -99.43100000
   .59507000  ************  -98.97900000
   .60674000  ************  -98.51700000
   .61840000  ************  -98.04500000
   .63007000  ************  -97.56300000
   .64174000  ************  -97.07200000
   .65341000  ************  -96.57100000
   .66508000  ************  -96.06000000
   .67674000  ************  -95.54000000
   .68841000  ************  -95.01000000
   .70008000  ************  -94.47100000
   .71175000  ************  -93.92200000
   .72342000  ************  -93.36400000
   .73508000  ************  -92.79600000
   .74675000  ************  -92.21800000
   .75842000  ************  -91.63200000
   .77009000  ************  -91.03600000
   .78176000  ************  -90.43100000
   .79342000  ************  -89.81600000
   .80509000  ************  -89.19200000
   .81676000  ************  -88.55900000
   .82843000  ************  -87.91700000
   .84010000  ************  -87.26600000
   .85176000  ************  -86.60600000
   .86343000  ************  -85.93600000
   .87510000  ************  -85.25800000
   .88677000  ************  -84.57100000
   .89844000  ************  -83.87400000
   .91010000  ************  -83.16900000
   .92177000  ************  -82.45500000
   .93344000  -99.78600000  -81.73200000
   .94511000  -99.50900000  -81.00000000
   .95678000  -99.22800000  -80.25900000
   .96844000  -98.94400000  -79.51000000
   .98011000  -98.65700000  -78.75200000
   .99178000  -98.36700000  -77.98500000
  1.00340000  -98.07400000  -77.21000000
  1.01510000  -97.77800000  -76.42600000
  1.02680000  -97.47900000  -75.63300000
  1.03850000  -97.17700000  -74.83200000
  1.05010000  -96.87200000  -74.02200000
  1.06180000  -96.56500000  -73.20400000
  1.07350000  -96.25500000  -72.37700000
  1.08510000  -95.94200000  -71.54200000
  1.09680000  -95.62600000  -70.69900000
  1.10850000  -95.30700000  -69.84700000
  1.12010000  -94.98600000  -68.98800000
  1.13180000  -94.66200000  -68.11900000
  1.14350000  -94.33600000  -67.24300000
  1.15510000  -94.00700000  -66.35800000
  1.16680000  -93.67600000  -65.46500000
  1.17850000  -93.34200000  -64.56500000
  1.19010000  -93.00600000  -63.65600000
  1.20180000  -92.66700000  -62.73900000
  1.21350000  -92.32600000  -61.81300000
  1.22510000  -91.98200000  -60.88000000
  1.23680000  -91.63700000  -59.94000000
  1.24850000  -91.28900000  -58.99100000
  1.26010000  -90.93800000  -58.03400000
  1.27180000  -90.58600000  -57.06900000
  1.28350000  -90.23100000  -56.09700000
  1.29510000  -89.87500000  -55.11700000
  1.30680000  -89.51600000  -54.12900000
  1.31850000  -89.15500000  -53.13300000
  1.33020000  -88.79200000  -52.13000000
  1.34180000  -88.42700000  -51.11900000
  1.35350000  -88.06100000  -50.10100000
  1.36520000  -87.69200000  -49.07500000
  1.37680000  -87.32100000  -48.04100000
  1.38850000  -86.94900000  -47.00000000
  1.40020000  -86.57500000  -45.95200000
  1.41180000  -86.19900000  -44.89600000
  1.42350000  -85.82100000  -43.83300000
  1.43520000  -85.44100000  -42.76200000
  1.44680000  -85.06000000  -41.68400000
  1.45850000  -84.67800000  -40.59900000
  1.47020000  -84.29300000  -39.50700000
  1.48180000  -83.90700000  -38.40700000
  1.49350000  -83.52000000  -37.30000000
  1.50520000  -83.13100000  -36.18600000
  1.51680000  -82.74100000  -35.06500000
  1.52850000  -82.34900000  -33.93700000
  1.54020000  -81.95600000  -32.80200000
  1.55180000  -81.56100000  -31.66000000
  1.56350000  -81.16600000  -30.51100000
  1.57520000  -80.76800000  -29.35500000
  1.58680000  -80.37000000  -28.19200000
  1.59850000  -79.97000000  -27.02300000
  1.61020000  -79.57000000  -25.84600000
  1.62190000  -79.16800000  -24.66300000
  1.63350000  -78.76500000  -23.47300000
  1.64520000  -78.36100000  -22.27600000
  1.65690000  -77.95500000  -21.07200000
  1.66850000  -77.54900000  -19.86200000
  1.68020000  -77.14200000  -18.64500000
  1.69190000  -76.73300000  -17.42100000
  1.70350000  -76.32400000  -16.19100000
  1.71520000  -75.91400000  -14.95400000
  1.72690000  -75.50300000  -13.71100000
  1.73850000  -75.09100000  -12.46100000
  1.75020000  -74.67800000  -11.20500000
  1.76190000  -74.26400000   -9.94210000
  1.77350000  -73.85000000   -8.67280000
  1.78520000  -73.43500000   -7.39720000
  1.79690000  -73.01900000   -6.11520000
  1.80850000  -72.60200000   -4.82680000
  1.82020000  -72.18500000   -3.53210000
  1.83190000  -71.76700000   -2.23120000
  1.84350000  -71.34800000    -.92390000
  1.85520000  -70.92900000     .38958000
  1.86690000  -70.50900000    1.70930000
  1.87850000  -70.08900000    3.03520000
  1.89020000  -69.66800000    4.36720000
  1.90190000  -69.24700000    5.70530000
  1.91360000  -68.82500000    7.04960000
  1.92520000  -68.40300000    8.39990000
  1.93690000  -67.98000000    9.75630000
  1.94860000  -67.55700000   11.11900000
  1.96020000  -67.13400000   12.48700000
  1.97190000  -66.71000000   13.86100000
